CUSTOMER_NAME	KPI Header	PeriodWeek	Day of WEEK_END_DATE	Data Availablity
Shoprite	KPI - Sales	P02W1	February 1, 2025	True
Sams.com	KPI - Sales	P02W1	February 1, 2025	True
Sams Pick Up	KPI - Sales	P02W1	February 1, 2025	True
Meijer PickUp	KPI - Sales	P02W1	February 1, 2025	True
Meijer Delivery	KPI - Sales	P02W1	February 1, 2025	True
Kroger.com	KPI - Sales	P02W1	February 1, 2025	True
Kroger Vitacost	KPI - Sales	P02W1	February 1, 2025	True
Kroger PickUp	KPI - Sales	P02W1	February 1, 2025	True
Kroger Ocado	KPI - Sales	P02W1	February 1, 2025	True
Kroger Delivery	KPI - Sales	P02W1	February 1, 2025	True
Instacart	KPI - Sales	P02W1	February 1, 2025	True
Hy-Vee	KPI - Sales	P02W1	February 1, 2025	True
HEB	KPI - Sales	P02W1	February 1, 2025	True
Harris Teeter	KPI - Sales	P02W1	February 1, 2025	True
Gopuff	KPI - Sales	P02W1	February 1, 2025	True
DoorDash 3P Grocery	KPI - Sales	P02W1	February 1, 2025	True
DoorDash 3P Convenience	KPI - Sales	P02W1	February 1, 2025	True
Delhaize	KPI - Sales	P02W1	February 1, 2025	True
DashMart	KPI - Sales	P02W1	February 1, 2025	True
Costco	KPI - Sales	P02W1	February 1, 2025	True
Amazon.COM	KPI - Sales	P02W1	February 1, 2025	True
Amazon Fresh	KPI - Sales	P02W1	February 1, 2025	True
Amazon B&M	KPI - Sales	P02W1	February 1, 2025	True
Ahold	KPI - Sales	P02W1	February 1, 2025	True
7Now-FT	KPI - Sales	P02W1	February 1, 2025	True
Walmart.COM	KPI - Sales	P02W2	February 8, 2025	True
Walmart OPD	KPI - Sales	P02W2	February 8, 2025	True
Target.com	KPI - Sales	P02W2	February 8, 2025	True
Target SDD	KPI - Sales	P02W2	February 8, 2025	True
Shoprite	KPI - Sales	P02W2	February 8, 2025	True
Sams.com	KPI - Sales	P02W2	February 8, 2025	True
Sams Pick Up	KPI - Sales	P02W2	February 8, 2025	True
Meijer PickUp	KPI - Sales	P02W2	February 8, 2025	True
Meijer Delivery	KPI - Sales	P02W2	February 8, 2025	True
Kroger.com	KPI - Sales	P02W2	February 8, 2025	True
Kroger Vitacost	KPI - Sales	P02W2	February 8, 2025	True
Kroger PickUp	KPI - Sales	P02W2	February 8, 2025	True
Kroger Ocado	KPI - Sales	P02W2	February 8, 2025	True
Kroger Delivery	KPI - Sales	P02W2	February 8, 2025	True
Instacart	KPI - Sales	P02W2	February 8, 2025	True
Hy-Vee	KPI - Sales	P02W2	February 8, 2025	True
HEB	KPI - Sales	P02W2	February 8, 2025	True
Harris Teeter	KPI - Sales	P02W2	February 8, 2025	True
Gopuff	KPI - Sales	P02W2	February 8, 2025	True
DoorDash 3P Grocery	KPI - Sales	P02W2	February 8, 2025	True
DoorDash 3P Convenience	KPI - Sales	P02W2	February 8, 2025	True
Delhaize	KPI - Sales	P02W2	February 8, 2025	True
DashMart	KPI - Sales	P02W2	February 8, 2025	True
Costco	KPI - Sales	P02W2	February 8, 2025	True
Amazon.COM	KPI - Sales	P02W2	February 8, 2025	True
Amazon Fresh	KPI - Sales	P02W2	February 8, 2025	True
Amazon B&M	KPI - Sales	P02W2	February 8, 2025	True
Ahold	KPI - Sales	P02W2	February 8, 2025	True
7Now-FT	KPI - Sales	P02W2	February 8, 2025	True
Walmart.COM	KPI - Sales	P02W3	February 15, 2025	True
Walmart OPD	KPI - Sales	P02W3	February 15, 2025	True
Target.com	KPI - Sales	P02W3	February 15, 2025	True
Target SDD	KPI - Sales	P02W3	February 15, 2025	True
Shoprite	KPI - Sales	P02W3	February 15, 2025	True
Sams.com	KPI - Sales	P02W3	February 15, 2025	True
Sams Pick Up	KPI - Sales	P02W3	February 15, 2025	True
Meijer PickUp	KPI - Sales	P02W3	February 15, 2025	True
Meijer Delivery	KPI - Sales	P02W3	February 15, 2025	True
Kroger.com	KPI - Sales	P02W3	February 15, 2025	True
Kroger Vitacost	KPI - Sales	P02W3	February 15, 2025	True
Kroger PickUp	KPI - Sales	P02W3	February 15, 2025	True
Kroger Ocado	KPI - Sales	P02W3	February 15, 2025	True
Kroger Delivery	KPI - Sales	P02W3	February 15, 2025	True
Instacart	KPI - Sales	P02W3	February 15, 2025	True
Hy-Vee	KPI - Sales	P02W3	February 15, 2025	True
HEB	KPI - Sales	P02W3	February 15, 2025	True
Harris Teeter	KPI - Sales	P02W3	February 15, 2025	True
Gopuff	KPI - Sales	P02W3	February 15, 2025	True
DoorDash 3P Grocery	KPI - Sales	P02W3	February 15, 2025	True
DoorDash 3P Convenience	KPI - Sales	P02W3	February 15, 2025	True
Delhaize	KPI - Sales	P02W3	February 15, 2025	True
DashMart	KPI - Sales	P02W3	February 15, 2025	True
Costco	KPI - Sales	P02W3	February 15, 2025	True
Amazon.COM	KPI - Sales	P02W3	February 15, 2025	True
Ahold	KPI - Sales	P02W3	February 15, 2025	True
7Now-FT	KPI - Sales	P02W3	February 15, 2025	True
Walmart.COM	KPI - Sales	P02W4	February 22, 2025	True
Walmart OPD	KPI - Sales	P02W4	February 22, 2025	True
Target.com	KPI - Sales	P02W4	February 22, 2025	True
Target SDD	KPI - Sales	P02W4	February 22, 2025	True
Shoprite	KPI - Sales	P02W4	February 22, 2025	True
Sams.com	KPI - Sales	P02W4	February 22, 2025	True
Sams Pick Up	KPI - Sales	P02W4	February 22, 2025	True
Meijer PickUp	KPI - Sales	P02W4	February 22, 2025	True
Meijer Delivery	KPI - Sales	P02W4	February 22, 2025	True
Kroger.com	KPI - Sales	P02W4	February 22, 2025	True
Kroger Vitacost	KPI - Sales	P02W4	February 22, 2025	True
Kroger PickUp	KPI - Sales	P02W4	February 22, 2025	True
Kroger Ocado	KPI - Sales	P02W4	February 22, 2025	True
Kroger Delivery	KPI - Sales	P02W4	February 22, 2025	True
Instacart	KPI - Sales	P02W4	February 22, 2025	True
Hy-Vee	KPI - Sales	P02W4	February 22, 2025	True
HEB	KPI - Sales	P02W4	February 22, 2025	True
Harris Teeter	KPI - Sales	P02W4	February 22, 2025	True
Gopuff	KPI - Sales	P02W4	February 22, 2025	True
DoorDash 3P Grocery	KPI - Sales	P02W4	February 22, 2025	True
DoorDash 3P Convenience	KPI - Sales	P02W4	February 22, 2025	True
Delhaize	KPI - Sales	P02W4	February 22, 2025	True
DashMart	KPI - Sales	P02W4	February 22, 2025	True
Costco	KPI - Sales	P02W4	February 22, 2025	True
Amazon.COM	KPI - Sales	P02W4	February 22, 2025	True
Amazon Fresh	KPI - Sales	P02W4	February 22, 2025	True
Amazon B&M	KPI - Sales	P02W4	February 22, 2025	True
Ahold	KPI - Sales	P02W4	February 22, 2025	True
7Now-FT	KPI - Sales	P02W4	February 22, 2025	True
Walmart.COM	KPI - Sales	P03W1	March 1, 2025	True
Walmart OPD	KPI - Sales	P03W1	March 1, 2025	True
Target.com	KPI - Sales	P03W1	March 1, 2025	True
Target SDD	KPI - Sales	P03W1	March 1, 2025	True
Shoprite	KPI - Sales	P03W1	March 1, 2025	True
Sams.com	KPI - Sales	P03W1	March 1, 2025	True
Sams Pick Up	KPI - Sales	P03W1	March 1, 2025	True
Meijer PickUp	KPI - Sales	P03W1	March 1, 2025	True
Meijer Delivery	KPI - Sales	P03W1	March 1, 2025	True
Kroger.com	KPI - Sales	P03W1	March 1, 2025	True
Kroger Vitacost	KPI - Sales	P03W1	March 1, 2025	True
Kroger PickUp	KPI - Sales	P03W1	March 1, 2025	True
Kroger Ocado	KPI - Sales	P03W1	March 1, 2025	True
Kroger Delivery	KPI - Sales	P03W1	March 1, 2025	True
Instacart	KPI - Sales	P03W1	March 1, 2025	True
Hy-Vee	KPI - Sales	P03W1	March 1, 2025	True
HEB	KPI - Sales	P03W1	March 1, 2025	True
Harris Teeter	KPI - Sales	P03W1	March 1, 2025	True
Gopuff	KPI - Sales	P03W1	March 1, 2025	True
DoorDash 3P Grocery	KPI - Sales	P03W1	March 1, 2025	True
DoorDash 3P Convenience	KPI - Sales	P03W1	March 1, 2025	True
Delhaize	KPI - Sales	P03W1	March 1, 2025	True
DashMart	KPI - Sales	P03W1	March 1, 2025	True
Costco	KPI - Sales	P03W1	March 1, 2025	True
Amazon.COM	KPI - Sales	P03W1	March 1, 2025	True
Amazon Fresh	KPI - Sales	P03W1	March 1, 2025	True
Amazon B&M	KPI - Sales	P03W1	March 1, 2025	True
Ahold	KPI - Sales	P03W1	March 1, 2025	True
7Now-FT	KPI - Sales	P03W1	March 1, 2025	True
Walmart.COM	KPI - Sales	P03W2	March 8, 2025	True
Walmart OPD	KPI - Sales	P03W2	March 8, 2025	True
Target.com	KPI - Sales	P03W2	March 8, 2025	True
Target SDD	KPI - Sales	P03W2	March 8, 2025	True
Shoprite	KPI - Sales	P03W2	March 8, 2025	True
Sams.com	KPI - Sales	P03W2	March 8, 2025	True
Sams Pick Up	KPI - Sales	P03W2	March 8, 2025	True
Meijer PickUp	KPI - Sales	P03W2	March 8, 2025	True
Meijer Delivery	KPI - Sales	P03W2	March 8, 2025	True
Kroger.com	KPI - Sales	P03W2	March 8, 2025	True
Kroger Vitacost	KPI - Sales	P03W2	March 8, 2025	True
Kroger PickUp	KPI - Sales	P03W2	March 8, 2025	True
Kroger Ocado	KPI - Sales	P03W2	March 8, 2025	True
Kroger Delivery	KPI - Sales	P03W2	March 8, 2025	True
Instacart	KPI - Sales	P03W2	March 8, 2025	True
Hy-Vee	KPI - Sales	P03W2	March 8, 2025	True
HEB	KPI - Sales	P03W2	March 8, 2025	True
Harris Teeter	KPI - Sales	P03W2	March 8, 2025	True
Gopuff	KPI - Sales	P03W2	March 8, 2025	True
DoorDash 3P Grocery	KPI - Sales	P03W2	March 8, 2025	True
DoorDash 3P Convenience	KPI - Sales	P03W2	March 8, 2025	True
Delhaize	KPI - Sales	P03W2	March 8, 2025	True
DashMart	KPI - Sales	P03W2	March 8, 2025	True
Costco	KPI - Sales	P03W2	March 8, 2025	True
Amazon.COM	KPI - Sales	P03W2	March 8, 2025	True
Amazon Fresh	KPI - Sales	P03W2	March 8, 2025	True
Amazon B&M	KPI - Sales	P03W2	March 8, 2025	True
Ahold	KPI - Sales	P03W2	March 8, 2025	True
7Now-FT	KPI - Sales	P03W2	March 8, 2025	True
Walmart.COM	KPI - Sales	P03W3	March 15, 2025	True
Walmart OPD	KPI - Sales	P03W3	March 15, 2025	True
Target.com	KPI - Sales	P03W3	March 15, 2025	True
Target SDD	KPI - Sales	P03W3	March 15, 2025	True
Shoprite	KPI - Sales	P03W3	March 15, 2025	True
Sams.com	KPI - Sales	P03W3	March 15, 2025	True
Sams Pick Up	KPI - Sales	P03W3	March 15, 2025	True
Meijer PickUp	KPI - Sales	P03W3	March 15, 2025	True
Meijer Delivery	KPI - Sales	P03W3	March 15, 2025	True
Kroger.com	KPI - Sales	P03W3	March 15, 2025	True
Kroger Vitacost	KPI - Sales	P03W3	March 15, 2025	True
Kroger PickUp	KPI - Sales	P03W3	March 15, 2025	True
Kroger Ocado	KPI - Sales	P03W3	March 15, 2025	True
Kroger Delivery	KPI - Sales	P03W3	March 15, 2025	True
Instacart	KPI - Sales	P03W3	March 15, 2025	True
Hy-Vee	KPI - Sales	P03W3	March 15, 2025	True
HEB	KPI - Sales	P03W3	March 15, 2025	True
Harris Teeter	KPI - Sales	P03W3	March 15, 2025	True
Gopuff	KPI - Sales	P03W3	March 15, 2025	True
DoorDash 3P Grocery	KPI - Sales	P03W3	March 15, 2025	True
DoorDash 3P Convenience	KPI - Sales	P03W3	March 15, 2025	True
Delhaize	KPI - Sales	P03W3	March 15, 2025	True
DashMart	KPI - Sales	P03W3	March 15, 2025	True
Costco	KPI - Sales	P03W3	March 15, 2025	True
Amazon.COM	KPI - Sales	P03W3	March 15, 2025	True
Ahold	KPI - Sales	P03W3	March 15, 2025	True
7Now-FT	KPI - Sales	P03W3	March 15, 2025	True
Walmart.COM	KPI - Sales	P03W4	March 22, 2025	True
Walmart OPD	KPI - Sales	P03W4	March 22, 2025	True
Target.com	KPI - Sales	P03W4	March 22, 2025	True
Target SDD	KPI - Sales	P03W4	March 22, 2025	True
Shoprite	KPI - Sales	P03W4	March 22, 2025	True
Sams.com	KPI - Sales	P03W4	March 22, 2025	True
Sams Pick Up	KPI - Sales	P03W4	March 22, 2025	True
Meijer PickUp	KPI - Sales	P03W4	March 22, 2025	True
Meijer Delivery	KPI - Sales	P03W4	March 22, 2025	True
Kroger Vitacost	KPI - Sales	P03W4	March 22, 2025	True
Kroger PickUp	KPI - Sales	P03W4	March 22, 2025	True
Kroger Ocado	KPI - Sales	P03W4	March 22, 2025	True
Kroger Delivery	KPI - Sales	P03W4	March 22, 2025	True
Instacart	KPI - Sales	P03W4	March 22, 2025	True
Hy-Vee	KPI - Sales	P03W4	March 22, 2025	True
HEB	KPI - Sales	P03W4	March 22, 2025	True
Harris Teeter	KPI - Sales	P03W4	March 22, 2025	True
Gopuff	KPI - Sales	P03W4	March 22, 2025	True
DoorDash 3P Grocery	KPI - Sales	P03W4	March 22, 2025	True
DoorDash 3P Convenience	KPI - Sales	P03W4	March 22, 2025	True
Delhaize	KPI - Sales	P03W4	March 22, 2025	True
DashMart	KPI - Sales	P03W4	March 22, 2025	True
Costco	KPI - Sales	P03W4	March 22, 2025	True
Amazon.COM	KPI - Sales	P03W4	March 22, 2025	True
Ahold	KPI - Sales	P03W4	March 22, 2025	True
7Now-FT	KPI - Sales	P03W4	March 22, 2025	True
Walmart.COM	KPI - Sales	P04W1	March 29, 2025	True
Walmart OPD	KPI - Sales	P04W1	March 29, 2025	True
Target.com	KPI - Sales	P04W1	March 29, 2025	True
Target SDD	KPI - Sales	P04W1	March 29, 2025	True
Shoprite	KPI - Sales	P04W1	March 29, 2025	True
Sams.com	KPI - Sales	P04W1	March 29, 2025	True
Sams Pick Up	KPI - Sales	P04W1	March 29, 2025	True
Meijer PickUp	KPI - Sales	P04W1	March 29, 2025	True
Meijer Delivery	KPI - Sales	P04W1	March 29, 2025	True
Kroger Vitacost	KPI - Sales	P04W1	March 29, 2025	True
Kroger PickUp	KPI - Sales	P04W1	March 29, 2025	True
Kroger Ocado	KPI - Sales	P04W1	March 29, 2025	True
Kroger Delivery	KPI - Sales	P04W1	March 29, 2025	True
Instacart	KPI - Sales	P04W1	March 29, 2025	True
Hy-Vee	KPI - Sales	P04W1	March 29, 2025	True
HEB	KPI - Sales	P04W1	March 29, 2025	True
Harris Teeter	KPI - Sales	P04W1	March 29, 2025	True
Gopuff	KPI - Sales	P04W1	March 29, 2025	True
DoorDash 3P Grocery	KPI - Sales	P04W1	March 29, 2025	True
DoorDash 3P Convenience	KPI - Sales	P04W1	March 29, 2025	True
Delhaize	KPI - Sales	P04W1	March 29, 2025	True
DashMart	KPI - Sales	P04W1	March 29, 2025	True
Costco	KPI - Sales	P04W1	March 29, 2025	True
Amazon.COM	KPI - Sales	P04W1	March 29, 2025	True
Ahold	KPI - Sales	P04W1	March 29, 2025	True
